Cluster,gene,Category
A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,22,GroupC
A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,17,GroupC
A_DTW-K1-001-DPGP016_B_DTW-K1-001-DPGP014,2,GroupC
A_DTW-K1-001-DPGP003_B_DTW-K1-001-DPGP006,2,GroupC
A_DTW-K1-001-DPGP004_B_DTW-K1-001-DPGP001,2,GroupC
A_DTW-K1-001-DPGP014_B_DTW-K1-001-DPGP014,2,GroupC
A_0_B_DTW-K1-001-DPGP016,1,GroupA
A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP014,1,GroupC
A_DTW-K1-001-DPGP016_B_DTW-K1-001-DPGP003,1,GroupC
A_DTW-K1-001-DPGP015_B_DTW-K1-001-DPGP015,1,GroupC
A_DTW-K1-001-DPGP014_B_DTW-K1-001-DPGP001,1,GroupC
A_DTW-K1-001-DPGP005_B_DTW-K1-001-DPGP019,1,GroupC
A_DTW-K1-001-DPGP004_B_DTW-K1-001-DPGP015,1,GroupC
A_DTW-K1-001-DPGP004_B_DTW-K1-001-DPGP007,1,GroupC
A_DTW-K1-001-DPGP004_B_DTW-K1-001-DPGP004,1,GroupC
A_DTW-K1-001-DPGP003_B_DTW-K1-001-DPGP009,1,GroupC
A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP020,1,GroupC
A_DTW-K1-001-DPGP018_B_DTW-K1-001-DPGP010,1,GroupC
